text,sentiment,clean_text
hey man sorry i never checked my twitter sat just got home in sd maybe next time,0,hey man sorry i never checked my twitter sat just got home in sd maybe next time
he s so cute a licious,1,he s so cute a licious
three more days until california and tova time,1,three more days until california and tova time
school s in less than hours,0,school s in less than hours
the just screwed up mine too,0,the just screwed up mine too
ohhh dope dope i m gonna go look for it now thanks i love watching movies,1,ohhh dope dope i m gonna go look for it now thanks i love watching movies
u must be so pleased to be off all the shit,1,u must be so pleased to be off all the shit
what was that i can t see on my phone,0,what was that i can t see on my phone
got up early to go shopping not even going now back to bed and listenin to music what to do today,0,got up early to go shopping not even going now back to bed and listenin to music what to do today
it s nearly am am i done studying yet,0,it s nearly am am i done studying yet
laying out again i love this weather,1,laying out again i love this weather
hi everybody new here,1,hi everybody new here
tell me about it from am to pm,0,tell me about it from am to pm
i knoww she is da best,0,i knoww she is da best
good lookin it always picks the worst time to do it,0,good lookin it always picks the worst time to do it
topsr back on the bypass again drive carefully and drink water,0,topsr back on the bypass again drive carefully and drink water
i m cool i m at work right now,0,i m cool i m at work right now
my musicmonday halo halo bandung,1,my musicmonday halo halo bandung
iyah ni thank you syggg,0,iyah ni thank you syggg
just a lil bit,1,just a lil bit
i thought i was yo puddin,0,i thought i was yo puddin
my internet is about to taken away any moment now,0,my internet is about to taken away any moment now
haha that kinda thing i have to put it to linux though as well very good os s,1,haha that kinda thing i have to put it to linux though as well very good os s
going to shelbys sleeping over toooo,1,going to shelbys sleeping over toooo
thanks for putting up with the delay in getting it up,1,thanks for putting up with the delay in getting it up
tirant i miss you,0,tirant i miss you
ugh i need my phone,0,ugh i need my phone
cleanin up,0,cleanin up
inaperfectworld i would be able to meet my chinese great grandfather and talk to my late grandfather fredie ho sang rip,0,inaperfectworld i would be able to meet my chinese great grandfather and talk to my late grandfather fredie ho sang rip
i hope she ok i hope nothings wrong,0,i hope she ok i hope nothings wrong
